date,demand
2021-03-25,0.0
2021-03-26,23.0
2021-03-27,567.0
2021-03-28,644.0
2021-03-29,1182.0
2021-03-30,1345.0
2021-03-31,2547.0
2021-04-01,2465.0
2021-04-02,2175.0
2021-04-03,2258.0
2021-04-04,2162.0
2021-04-05,2416.0
2021-04-06,2154.0
2021-04-07,2592.0
2021-04-08,3123.0
2021-04-09,3673.0
2021-04-10,2648.0
2021-04-11,3104.0
2021-04-12,3122.0
2021-04-13,2985.0
2021-04-14,3974.0
2021-04-15,4517.0
2021-04-16,4512.0
2021-04-17,3795.0
2021-04-18,4229.0
2021-04-19,3767.0
2021-04-20,3100.0
2021-04-21,2865.0
2021-04-22,3340.0
2021-04-23,4686.0
2021-04-24,3733.0
2021-04-25,4340.0
2021-04-26,3876.0
2021-04-27,3432.0
2021-04-28,4032.0
2021-04-29,5041.0
2021-04-30,3194.0
2021-05-01,3570.0
2021-05-02,4999.0
2021-05-03,4304.0
2021-05-04,4227.0
2021-05-05,4253.0
2021-05-06,4319.0
2021-05-07,4292.0
2021-05-08,3499.0
2021-05-09,4154.0
2021-05-10,4413.0
2021-05-11,3874.0
2021-05-12,3511.0
2021-05-13,4272.0
2021-05-14,5191.0
2021-05-15,3582.0
2021-05-16,3973.0
2021-05-17,4038.0
2021-05-18,3496.0
2021-05-19,4729.0
2021-05-20,5139.0
2021-05-21,5398.0
2021-05-22,3302.0
2021-05-23,3426.0
2021-05-24,3810.0
2021-05-25,3428.0
2021-05-26,3542.0
2021-05-27,5425.0
2021-05-28,5390.0
2021-05-29,3985.0
2021-05-30,4032.0
2021-05-31,4161.0
2021-06-01,3975.0
2021-06-02,4247.0
2021-06-03,3737.0
2021-06-04,4820.0
2021-06-05,2849.0
2021-06-06,4264.0
2021-06-07,4084.0
2021-06-08,3581.0
2021-06-09,3276.0
2021-06-10,5061.0
2021-06-11,4948.0
2021-06-12,4468.0
2021-06-13,4444.0
2021-06-14,5045.0
2021-06-15,4105.0
2021-06-16,3939.0
2021-06-17,4863.0
2021-06-18,5360.0
2021-06-19,3832.0
2021-06-20,3872.0
2021-06-21,4013.0
2021-06-22,3496.0
2021-06-23,3544.0
2021-06-24,4453.0
2021-06-25,5511.0
2021-06-26,3540.0
2021-06-27,3189.0
2021-06-28,2775.0
2021-06-29,3048.0
2021-06-30,3074.0
2021-07-01,4633.0
2021-07-02,5172.0
2021-07-03,3328.0
2021-07-04,3687.0
2021-07-05,3339.0
2021-07-06,2767.0
2021-07-07,3050.0
2021-07-08,4313.0
2021-07-09,4942.0
2021-07-10,2830.0
2021-07-11,3641.0
2021-07-12,3266.0
2021-07-13,3489.0
2021-07-14,3377.0
2021-07-15,4296.0
2021-07-16,4948.0
2021-07-17,3659.0
2021-07-18,3528.0
2021-07-19,3683.0
2021-07-20,3397.0
2021-07-21,2797.0
2021-07-22,4448.0
2021-07-23,5457.0
2021-07-24,4261.0
2021-07-25,4448.0
2021-07-26,3543.0
2021-07-27,3472.0
2021-07-28,3633.0
2021-07-29,4289.0
2021-07-30,5265.0
2021-07-31,4047.0
2021-08-01,4481.0
2021-08-02,3577.0
2021-08-03,3875.0
2021-08-04,3206.0
2021-08-05,5299.0
2021-08-06,5380.0
2021-08-07,4360.0
2021-08-08,5109.0
2021-08-09,4111.0
2021-08-10,4171.0
2021-08-11,4211.0
2021-08-12,4803.0
2021-08-13,5115.0
2021-08-14,4643.0
2021-08-15,5350.0
2021-08-16,4705.0
2021-08-17,3825.0
2021-08-18,3568.0
2021-08-19,5591.0
2021-08-20,5620.0
2021-08-21,4505.0
2021-08-22,5407.0
2021-08-23,5147.0
2021-08-24,4919.0
2021-08-25,5329.0
2021-08-26,5740.0
2021-08-27,5528.0
2021-08-28,5227.0
2021-08-29,5331.0
2021-08-30,4455.0
2021-08-31,3218.0
2021-09-01,3080.0
2021-09-02,4228.0
2021-09-03,5329.0
2021-09-04,4053.0
2021-09-05,3812.0
2021-09-06,3584.0
2021-09-07,1812.0
2021-09-08,1940.0
2021-09-09,2583.0
2021-09-10,4083.0
2021-09-11,2552.0
2021-09-12,2622.0
2021-09-13,1421.0
2021-09-14,1175.0
2021-09-15,1468.0
2021-09-16,1517.0
2021-09-17,2640.0
2021-09-18,1541.0
2021-09-19,1628.0
2021-09-20,895.0
2021-09-21,605.0
2021-09-22,668.0
2021-09-23,908.0
2021-09-24,1719.0
2021-09-25,919.0
2021-09-26,1035.0
2021-09-27,337.0
2021-09-28,327.0
2021-09-29,324.0
2021-09-30,339.0
2021-10-01,700.0
2021-10-02,5107.0
2021-10-03,5392.0
2021-10-04,4575.0
2021-10-05,4100.0
2021-10-06,3696.0
2021-10-07,5635.0
2021-10-08,5717.0
2021-10-09,5148.0
2021-10-10,4927.0
2021-10-11,3345.0
2021-10-12,4001.0
2021-10-13,3512.0
2021-10-14,5098.0
2021-10-15,5662.0
2021-10-16,4342.0
2021-10-17,4374.0
2021-10-18,3348.0
2021-10-19,3071.0
2021-10-20,4952.0
2021-10-21,4414.0
2021-10-22,5416.0
2021-10-23,4273.0
2021-10-24,4120.0
2021-10-25,3757.0
2021-10-26,3415.0
2021-10-27,4896.0
2021-10-28,4799.0
2021-10-29,5177.0
2021-10-30,4574.0
2021-10-31,3910.0
2021-11-01,3269.0
2021-11-02,3093.0
2021-11-03,4590.0
2021-11-04,4414.0
2021-11-05,3875.0
2021-11-06,3931.0
2021-11-07,4398.0
2021-11-08,2576.0
2021-11-09,1777.0
2021-11-10,1622.0
2021-11-11,1642.0
2021-11-12,4443.0
2021-11-13,3734.0
2021-11-14,3804.0
2021-11-15,3819.0
2021-11-16,3150.0
2021-11-17,3691.0
2021-11-18,3401.0
2021-11-19,4726.0
2021-11-20,3971.0
2021-11-21,3824.0
2021-11-22,3428.0
2021-11-23,2767.0
2021-11-24,3781.0
2021-11-25,4389.0
2021-11-26,4790.0
2021-11-27,4180.0
2021-11-28,4166.0
2021-11-29,3587.0
2021-11-30,3491.0
2021-12-01,3868.0
2021-12-02,3209.0
2021-12-03,4475.0
2021-12-04,4069.0
2021-12-05,4030.0
2021-12-06,3819.0
2021-12-07,3577.0
2021-12-08,4505.0
2021-12-09,4488.0
2021-12-10,4669.0
2021-12-11,4025.0
2021-12-12,3267.0
2021-12-13,3562.0
2021-12-14,2853.0
2021-12-15,3449.0
2021-12-16,3226.0
2021-12-17,3549.0
2021-12-18,3493.0
2021-12-19,3283.0
2021-12-20,3511.0
2021-12-21,2738.0
2021-12-22,2881.0
2021-12-23,2522.0
2021-12-24,3167.0
2021-12-25,2611.0
2021-12-26,2287.0
2021-12-27,1962.0
2021-12-28,2130.0
2021-12-29,3035.0
2021-12-30,3443.0
2021-12-31,2982.0
2022-01-01,3058.0
2022-01-02,3253.0
2022-01-03,3620.0
2022-01-04,3085.0
2022-01-05,2845.0
2022-01-06,2485.0
2022-01-07,1994.0
2022-01-08,2646.0
2022-01-09,2098.0
2022-01-10,842.0
2022-01-11,502.0
2022-01-12,368.0
2022-01-13,359.0
2022-01-14,492.0
2022-01-15,377.0
2022-01-16,354.0
2022-01-17,148.0
2022-01-18,78.0
2022-01-19,92.0
2022-01-20,233.0
2022-01-21,321.0
2022-01-22,96.0
2022-01-23,188.0
2022-01-24,144.0
2022-01-25,66.0
2022-01-26,55.0
2022-01-27,109.0
2022-01-28,247.0
2022-01-29,125.0
2022-01-30,116.0
2022-01-31,50.0
2022-02-01,38.0
2022-02-02,55.0
2022-02-03,56.0
2022-02-04,180.0
2022-02-05,120.0
2022-02-06,77.0
2022-02-07,82.0
2022-02-08,15.0
2022-02-09,25.0
2022-02-10,31.0
2022-02-11,105.0
2022-02-12,47.0
2022-02-13,70.0
2022-02-14,15.0
2022-02-15,18.0
2022-02-16,13.0
2022-02-17,20.0
2022-02-18,104.0
2022-02-19,32.0
2022-02-20,107.0
2022-02-21,23.0
2022-02-22,35.0
